pcsclite 2.2.1-1
perl 5.38.2-1
perl-curses 1.45-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-term-animation 2.6-10
perl-timedate 2.33-5
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.0-1
pipewire 1:1.0.6-1
pipewire-alsa 1:1.0.6-1
pipewire-audio 1:1.0.6-1
pipewire-jack 1:1.0.6-1
pipewire-pulse 1:1.0.6-1
pixman 0.43.4-1
pkgconf 2.1.1-1
plasma-activities 6.0.4-1
playerctl 2.4.1-3
polkit 124-2
polkit-qt6 0.200.0-1
poppler 24.05.0-1
poppler-data 0.4.12-1
poppler-glib 24.05.0-1
poppler-qt6 24.05.0-1
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.4-3
psmisc 23.7-1
pv 1.8.9-1
python 3.12.3-1
python-argcomplete 3.1.1-3
python-attrs 23.2.0-3
python-autocommand 2.2.2-6
python-babel 2.14.0-2
python-cairo 1.26.0-2
python-certifi 2024.02.02-2
python-cffi 1.16.0-2
python-charset-normalizer 3.3.2-2
python-click 8.1.7-3
python-colorama 0.4.6-3
python-configobj 5.0.8-5
python-cryptography 42.0.6-1
python-dbus 1.3.2-4
python-defusedxml 0.7.1-6
python-distro 1.9.0-2
python-docutils 1:0.21.2-1
python-fastjsonschema 2.19.1-3
python-gobject 3.48.2-1
python-h11 0.14.0-3
python-idna 3.6-2
python-imagesize 1.4.1-5
python-inflect 7.2.1-2
python-isodate 0.6.1-4
python-jaraco.context 4.3.0-4
python-jaraco.functools 4.0.1-1
python-jaraco.text 3.12.0-3
python-jinja 1:3.1.3-2
python-lxml 5.2.2-1
python-markdown-it-py 3.0.0-2
python-markupsafe 2.1.5-2
python-mdurl 0.1.2-5
python-more-itertools 10.2.0-2
python-multidict 6.0.5-2
python-ordered-set 4.1.0-5
python-outcome 1.3.0.post0-4
python-packaging 24.0-1
python-pip 24.0-2
python-pipx 1.5.0-2
python-platformdirs 4.2.0-3
python-psutil 5.9.8-4
python-pycountry 23.12.11-2
python-pycparser 2.22-2
python-pycryptodome 3.20.0-2
python-pygments 2.17.2-3
python-pyparted 3.13.0-4
python-pysocks 1.7.1-9
python-pytz 2024.1-2
python-requests 2.31.0-3
python-requests-toolbelt 1.0.0-2
python-rich 13.7.1-2
python-setuptools 1:69.0.3-6
python-simple-term-menu 1.6.4-2
python-six 1.16.0-9
python-sniffio 1.3.1-3
python-snowballstemmer 2.2.0-6
python-sortedcontainers 2.4.0-6
python-sphinx 7.3.7-2
python-sphinx-alabaster-theme 0.7.16-2
python-sphinx_rtd_theme 1.3.0-2
python-sphinxcontrib-applehelp 1.0.8-3
python-sphinxcontrib-devhelp 1.0.6-3
python-sphinxcontrib-htmlhelp 2.0.5-3
python-sphinxcontrib-jquery 4.1-3
python-sphinxcontrib-jsmath 1.0.1-17
python-sphinxcontrib-qthelp 1.0.7-3
python-sphinxcontrib-serializinghtml 1.1.10-3
python-tomli 2.0.1-4
python-tqdm 4.66.4-1
python-trio 0.25.0-3
python-trio-websocket 0.11.1-3
python-trove-classifiers 2024.4.10-1
python-typeguard 4.2.1-2
python-typing_extensions 4.11.0-1
python-uc-micro-py 1.0.3-2
python-urllib3 1.26.18-3
python-userpath 1.9.2-2
python-validate-pyproject 0.16-1
python-websocket-client 1.8.0-1
python-wheel 0.43.0-4
python-wsproto 1.2.0-4
qca-qt6 2.3.8-3
qpdf 11.9.0-1
qrencode 4.1.1-2
qt5-base 5.15.13+kde+r145-1
qt5-declarative 5.15.13+kde+r30-1
qt5-svg 5.15.13+kde+r6-1
qt5-tools 5.15.13+kde+r4-1
qt5-translations 5.15.13-1
qt5-wayland 5.15.13+kde+r60-1
qt5-x11extras 5.15.13-1
qt6-5compat 6.7.0-1
qt6-base 6.7.0-6
qt6-declarative 6.7.0-1
qt6-multimedia 6.7.0-1
qt6-multimedia-ffmpeg 6.7.0-1
qt6-shadertools 6.7.0-1
qt6-speech 6.7.0-1
qt6-svg 6.7.0-1
qt6-translations 6.7.0-1
qt6-wayland 6.7.0-1
ranger 1.9.3-11
rav1e 0.7.1-1
readline 8.2.010-1
reiserfsprogs 3.6.27-4
rhash 1.4.4-1
rofi 1.7.5-2
rofi-emoji 3.3.0-1
rtkit 0.13-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.5.4-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.7.1-1
ruby-logger 1.5.1-3
ruby-manpages 0.6.1-4
ruby-minitest 5.20.0-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-optimist 3.1.0-1
ruby-paint 2.3.0-2
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
sane 1.3.0-2
sane-airscan 0.99.29-1
sbc 2.0-1
scdoc 1.11.3-1
sdbus-cpp 1.5.0-3
sddm 0.21.0-4
sdl2 2.30.3-1
seatd 0.8.0-1
sed 4.9-3
serd 0.32.2-1
shaderc 2024.0-1
shadow 4.15.1-2
shared-mime-info 2.4-1
simple-scan 46.0-1
sl 5.05-4
slang 2.3.3-2
slurp 1.5.0-1
smartmontools 7.4-1
smbclient 4.20.1-1
snappy 1.1.10-1
sndio 1.9.0-1
solid 6.2.0-1
sonnet 6.2.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundconverter 4.0.5-2
source-highlight 3.1.9-12
sox 14.4.2+r182+g42b3557e-4
spdlog 1.14.1-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2024.1-1
sqlite 3.45.3-1
sratom 0.6.16-1
srt 1.5.3-1
starship 1.19.0-1
startup-notification 0.12-8
streamlink 6.7.4-1
sudo 1.9.15.p5-1
svt-av1 2.0.0-1
swaybg 1.2.1-1
syndication 6.2.0-1
syntax-highlighting 6.2.0-1
systemd 255.6-1
systemd-libs 255.6-1
systemd-sysvcompat 255.6-1
taglib 2.0.1-1
talloc 2.4.2-2
tar 1.35-2
tdb 1.4.10-3
terminator 2.1.3-5
tevent 1:0.16.1-3
texinfo 7.1-2
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6-2
tpm2-tss 4.0.1-1
tracker3 3.7.3-1
tslib 1.23-1
ttf-font-awesome 6.5.2-1
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-common 3.2.1-1
twolame 0.4.0-3
tzdata 2024a-2
uchardet 0.0.8-2
udftools 2.3-2
udisks2 2.10.1-4
unzip 6.0-20
upower 1.90.4-1
usbmuxd 1.1.1-3
util-linux 2.40.1-1
util-linux-libs 2.40.1-1
v4l-utils 1.26.1-1
vapoursynth R66-2
vi 1:070224-6
vid.stab 1.1.1-1
vim 9.1.0408-1
vim-runtime 9.1.0408-1
vlc 3.0.20-9
vmaf 3.0.0-1
volume_key 0.3.12-9
vte-common 0.76.1-1
vte3 0.76.1-1
vulkan-headers 1:1.3.285-1
vulkan-icd-loader 1.3.285-1
vulkan-intel 1:24.0.7-3
vulkan-radeon 1:24.0.7-3
vulkan-validation-layers 1.3.275-1
w3m 0.5.3.git20230713_1-1
wavpack 5.7.0-1
waybar 0.10.3-1
wayland 1.22.0-1
wayland-protocols 1.36-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing-1 1.3-2
wget 1.24.5-2
which 2.21-6
wireless_tools 30.pre9-3
wireplumber 0.5.2-1
wl-clipboard 1:2.2.1-1
wlroots 0.17.3-1
wofi 1.4.1-1
wpa_supplicant 2:2.10-8
wsdd 0.8-2
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xarchiver 0.5.4.23-1
xcb-imdkit 1.0.8-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-hyprland 1.3.1-6
xdg-user-dirs 0.18-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-1
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.17-3
xf86-video-vmware 13.4.0-3
xfsprogs 6.7.0-1
xkeyboard-config 2.41-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.3-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xset 1.2.5-1
xorg-xwayland 24.1.0-1
xorgproto 2024.1-2
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.6.1-3
yt-dlp 2024.04.09-2
zenity 4.0.1-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zram-generator 1.1.2-1
zstd 1.5.5-1
